question_id,image,question,choices,answer
4,image_question_4.png,"A 55-year-old woman comes to the clinic because of a 2-month history of increasingly severe vaginal pain and itching
during sexual intercourse. She avoids intercourse with her husband because of the symptoms. She has been in a
monogamous relationship with her husband for the past 25 years. She has type 2 diabetes mellitus. Her vital signs are
within normal limits. Pelvic examination shows edematous and erythematous vaginal mucosa with white discharge.
A photomicrograph of a vaginal smear is shown. Which of the following is the most likely causal infectious agent?","['(A) Candida albicans', '(B) Chlamydia trachomatis', '(C) Herpes simplex virus', '(D) Human papillomavirus', '(E) Trichomonas vaginalis']",A
7,image_question_7.png,"During an experiment, a mouse is vaccinated with live attenuated bacteria at two different times. The results following
immunization are shown in the graph. The subject's serum total antibody concentration (Y-axis) was measured at
various time points (X-axis). The response to the first immunization is indicated by Peak A, while that of the second
immunization with the same bacterial antigen is indicated by Peak B. The phase of the immune response represented
by the asterisk is most likely the direct result of which of the following?","['(A) Antigen recognition', '(B) Apoptosis of activated lymphocytes', '(C) B-lymphocyte expansion', '(D) Macrophage phagocytosis', '(E) T-lymphocyte activation']",B
11,image_question_11.png,"A 25-year-old man volunteers to participate in a study of exercise. The solid curves in the graph show the relationship
between right atrial pressure and cardiac output (cardiac function curves). The dashed lines show the relationship
between cardiac output and right atrial pressure (vascular function curves). Point X is the pre-exercise equilibrium
point. Which of the following labeled areas is the most likely new cardiac and vascular equilibrium point during
exercise in this subject?","['(A) A', (B) 'B', '(C) C', '(D) D', '(E) E', '(F) F', '(G) G', '(H) H']",H
18,image_question_18.png,"A 65-year-old woman is brought to the emergency department because of a 10-minute history of chest tightness and
severe pain of her left arm. Physical examination shows jugular venous distention. Crackles are heard over the lung
fields. An ECG shows ST-segment elevation greater than 1 mm in leads V4 through V6 and new Q waves. Serum
studies show an increased troponin I concentration. Which of the following labeled points in the graph best represents
the changes in cardiac function that occurred during the first 10 seconds after the onset of pain in this patient?","['(A) W → X', '(B) W → Y', '(C) W → Z', '(D) X → W', '(E) X → Y', '(F) X → Z', '(G) Z → W', '(H) Z → X', '(I) Z → Y']",C
21,image_question_21.png,"A study is conducted to assess the effects of epinephrine on total peripheral resistance. An anesthetized experimental
animal is injected with a bolus of the drug in both the presence and absence of doxazosin. The results are shown in
the graph. Which of the following best represents the signal transduction pathways used by epinephrine to produce
these results?","['Epinephrine Without Doxazosin Epinephrine With Doxazosin', '(A) Increased cAMP decreased cAMP', '(B) Increased cAMP decreased cGMP', '(C) Increased cGMP decreased cAMP', '(D) Increased cGMP decreased phosphoinositide turnover', '(E) Increased phosphoinositide turnover decreased cAMP', '(F) Increased phosphoinositide turnover increased cAMP']",F
30,image_question_30.png,"A pharmaceutical company is developing a new bronchodilator agent. The graph shows concentration-response curves
for three investigational drugs (Drugs X, Y, and Z), describing their effect on bronchial smooth muscle relaxation.
Based on these data, which of the following best describes the relationship among these three agents?","['(A) Drug X is more potent than Drugs Y or Z', '(B) Drug X has greater efficacy than Drugs Y or Z', '(C) Drug Y is more potent than Drugs X or Z', '(D) Drug Y has greater efficacy than Drugs X or Z', '(E) Drug Z is more potent than Drugs X or Y', '(F) Drug Z has greater efficacy than Drugs X or Y']",A
32,image_question_32.png,"A 45-year-old man comes to the physician because of a 10-year history of heartburn that occurs after he eats late at
night or consumes spicy food. He has had no weight loss or difficulty swallowing. He takes over-the-counter antacids
as needed, but they relieve his discomfort only temporarily. Physical examination shows no abnormalities. An
endoscopy is done. The distal esophagus is shown in the photograph. Which of the following is the most likely cause
of this patient's symptoms?","['(A) Defect in secretin production', '(B) Excessive gastrin production', '(C) Excessive transient lower esophageal relaxations', '(D) Failure of primary esophageal peristalsis', '(E) Failure of saliva production']",C
34,image_question_34.png,"A 56-year-old woman comes to the physician because of a 2-year history of recurrent urinary tract infections
accompanied by left flank pain. Physical examination shows no abnormalities. Renal ultrasonography shows left-
sided hydronephrosis. A T2-weighted coronal MRI of the abdomen is shown; the arrow indicates the hydronephrosis.
The left renal collecting system is most likely obstructed at which of the following anatomic locations in this patient?","['(A) Bladder neck', '(B) Mid ureter', '(C) Renal calyx', '(D) Ureteropelvic junction', '(E) Ureterovesical junction']",D
36,image_question_36.png,"A 35-year-old man is brought to the emergency department 30 minutes after he sustained a cut on his hand while
loading cargo at his job. He lives alone and takes most of his meals at a local restaurant. He eats mostly snack foods
at the bar and fast food. He drinks four to six 12-oz beers daily and double that amount on weekends. He takes no
medications. Physical examination shows a 3-cm laceration on the right hand that is bleeding steadily. Laboratory
studies show a hemoglobin concentration of 11 g/dL, leukocyte count of 4000/mm3, and platelet count of
150,000/mm3. A photomicrograph of a peripheral blood smear is shown. A deficiency of which of the following is the
most likely cause of this patient's anemia?","['(A) Folic acid', '(B) Glucose-6-phosphate dehydrogenase', '(C) Iron', '(D) Vitamin B1 (thiamine)', '(E) Vitamin B6 (pyridoxine)']",A
40,image_question_40.png,"A 22-year-old man is brought to the emergency department 15 minutes after diving off a pier into shallow water,
striking his forehead on the bottom of the pond. He says that he felt immediate pain in his neck and then lost all ability
to move or feel his legs. Physical examination shows that all muscle function above the level of the injury is preserved.
A lateral x-ray of the cervical spine is shown. Which of the following functions is most likely spared in this patient?","['(A) Elbow extension', '(B) Elbow flexion', '(C) Finger abduction', '(D) Thumb abduction', '(E) Wrist flexion']",B
